




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1849)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of gliogenesis (GO:0014015)	64	16	5.75	+	2.78	7.18E-04	1.31E-02
negative regulation of Notch signaling pathway (GO:0045746)	39	12	3.50	+	3.43	7.22E-04	1.32E-02
activation of immune response (GO:0002253)	530	25	47.58	-	.53	7.27E-04	1.32E-02
regulation of intracellular signal transduction (GO:1902531)	1839	210	165.10	+	1.27	7.36E-04	1.34E-02
regulation of epithelial cell differentiation (GO:0030856)	147	28	13.20	+	2.12	7.35E-04	1.34E-02
skeletal muscle tissue development (GO:0007519)	123	25	11.04	+	2.26	7.37E-04	1.34E-02
regulation of cartilage development (GO:0061035)	71	17	6.37	+	2.67	7.53E-04	1.37E-02
atrioventricular canal development (GO:0036302)	13	7	1.17	+	6.00	7.55E-04	1.37E-02
negative regulation of amino acid transport (GO:0051956)	13	7	1.17	+	6.00	7.55E-04	1.37E-02
ventral spinal cord interneuron differentiation (GO:0021514)	13	7	1.17	+	6.00	7.55E-04	1.37E-02
adult walking behavior (GO:0007628)	28	10	2.51	+	3.98	7.78E-04	1.40E-02
regulation of cardiocyte differentiation (GO:1905207)	28	10	2.51	+	3.98	7.78E-04	1.40E-02
regulation of response to wounding (GO:1903034)	162	30	14.54	+	2.06	8.00E-04	1.44E-02
regulation of Wnt signaling pathway involved in heart development (GO:0003307)	9	6	.81	+	7.43	8.09E-04	1.45E-02
regulation of heart morphogenesis (GO:2000826)	9	6	.81	+	7.43	8.09E-04	1.46E-02
response to glucocorticoid (GO:0051384)	149	28	13.38	+	2.09	8.12E-04	1.46E-02
social behavior (GO:0035176)	52	14	4.67	+	3.00	8.24E-04	1.47E-02
regulation of calcium ion transport (GO:0051924)	252	41	22.62	+	1.81	8.20E-04	1.47E-02
mitotic nuclear division (GO:0140014)	201	5	18.05	-	.28	8.21E-04	1.47E-02
biological process involved in intraspecies interaction between organisms (GO:0051703)	52	14	4.67	+	3.00	8.24E-04	1.47E-02
regulation of transcription regulatory region DNA binding (GO:2000677)	52	14	4.67	+	3.00	8.24E-04	1.47E-02
regulation of phagocytosis (GO:0050764)	92	20	8.26	+	2.42	8.40E-04	1.49E-02
male genitalia development (GO:0030539)	23	9	2.06	+	4.36	8.40E-04	1.49E-02
response to food (GO:0032094)	23	9	2.06	+	4.36	8.40E-04	1.49E-02
positive regulation of mesenchymal cell proliferation (GO:0002053)	23	9	2.06	+	4.36	8.40E-04	1.49E-02
negative regulation of organic acid transport (GO:0032891)	23	9	2.06	+	4.36	8.40E-04	1.50E-02
innervation (GO:0060384)	23	9	2.06	+	4.36	8.40E-04	1.50E-02
response to morphine (GO:0043278)	34	11	3.05	+	3.60	8.47E-04	1.50E-02
response to isoquinoline alkaloid (GO:0014072)	34	11	3.05	+	3.60	8.47E-04	1.50E-02
double-strand break repair (GO:0006302)	204	5	18.31	-	.27	8.53E-04	1.51E-02
epithelial to mesenchymal transition (GO:0001837)	75	18	6.73	+	2.67	8.52E-04	1.51E-02
positive regulation of phospholipase C activity (GO:0010863)	46	13	4.13	+	3.15	8.58E-04	1.51E-02
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	46	13	4.13	+	3.15	8.58E-04	1.51E-02
localization (GO:0051179)	5831	592	523.50	+	1.13	8.63E-04	1.52E-02
positive regulation of blood pressure (GO:0045777)	40	12	3.59	+	3.34	8.70E-04	1.53E-02
cellular response to hormone stimulus (GO:0032870)	529	73	47.49	+	1.54	8.94E-04	1.57E-02
sprouting angiogenesis (GO:0002040)	59	15	5.30	+	2.83	8.99E-04	1.58E-02
positive regulation of transmembrane transport (GO:0034764)	238	39	21.37	+	1.83	8.98E-04	1.58E-02
negative regulation of cellular component movement (GO:0051271)	293	46	26.31	+	1.75	9.17E-04	1.61E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	222	6	19.93	-	.30	9.21E-04	1.61E-02
response to abiotic stimulus (GO:0009628)	1175	142	105.49	+	1.35	9.23E-04	1.61E-02
response to ethanol (GO:0045471)	141	27	12.66	+	2.13	9.57E-04	1.67E-02
organonitrogen compound catabolic process (GO:1901565)	1091	66	97.95	-	.67	9.61E-04	1.68E-02
walking behavior (GO:0090659)	29	10	2.60	+	3.84	9.70E-04	1.69E-02
regulation of ossification (GO:0030278)	115	23	10.32	+	2.23	9.80E-04	1.70E-02
female sex differentiation (GO:0046660)	107	22	9.61	+	2.29	1.02E-03	1.77E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	298	46	26.75	+	1.72	1.04E-03	1.80E-02
cyclic nucleotide metabolic process (GO:0009187)	41	12	3.68	+	3.26	1.04E-03	1.80E-02
proteoglycan biosynthetic process (GO:0030166)	60	15	5.39	+	2.78	1.04E-03	1.80E-02
semi-lunar valve development (GO:1905314)	41	12	3.68	+	3.26	1.04E-03	1.80E-02
regulation of long-term synaptic depression (GO:1900452)	14	7	1.26	+	5.57	1.05E-03	1.81E-02
regulation of synapse maturation (GO:0090128)	14	7	1.26	+	5.57	1.05E-03	1.82E-02
nephric duct development (GO:0072176)	14	7	1.26	+	5.57	1.05E-03	1.82E-02
negative regulation of homotypic cell-cell adhesion (GO:0034111)	14	7	1.26	+	5.57	1.05E-03	1.82E-02
leukocyte mediated immunity (GO:0002443)	764	42	68.59	-	.61	1.06E-03	1.83E-02
response to estradiol (GO:0032355)	144	27	12.93	+	2.09	1.08E-03	1.86E-02
positive regulation of MAP kinase activity (GO:0043406)	232	38	20.83	+	1.82	1.12E-03	1.92E-02
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	54	14	4.85	+	2.89	1.12E-03	1.92E-02
endochondral bone morphogenesis (GO:0060350)	54	14	4.85	+	2.89	1.12E-03	1.93E-02
cerebral cortex GABAergic interneuron migration (GO:0021853)	6	5	.54	+	9.28	1.14E-03	1.95E-02
regulation of lipase activity (GO:0060191)	99	21	8.89	+	2.36	1.14E-03	1.95E-02
sinoatrial node cell differentiation (GO:0060921)	6	5	.54	+	9.28	1.14E-03	1.95E-02
regulation of heart induction (GO:0090381)	6	5	.54	+	9.28	1.14E-03	1.95E-02
regulation of wound healing (GO:0061041)	131	25	11.76	+	2.13	1.14E-03	1.95E-02
regulation of establishment of protein localization (GO:0070201)	581	78	52.16	+	1.50	1.16E-03	1.98E-02
peptide metabolic process (GO:0006518)	544	27	48.84	-	.55	1.17E-03	1.99E-02
positive regulation of immune response (GO:0050778)	747	41	67.06	-	.61	1.18E-03	2.01E-02
positive regulation of vasculature development (GO:1904018)	160	29	14.36	+	2.02	1.20E-03	2.02E-02
regulation of phospholipase C activity (GO:1900274)	48	13	4.31	+	3.02	1.19E-03	2.02E-02
positive regulation of angiogenesis (GO:0045766)	160	29	14.36	+	2.02	1.20E-03	2.02E-02
glutamate receptor signaling pathway (GO:0007215)	48	13	4.31	+	3.02	1.19E-03	2.02E-02
neurotransmitter uptake (GO:0001504)	30	10	2.69	+	3.71	1.20E-03	2.02E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	6	19.03	-	.32	1.20E-03	2.03E-02
sinoatrial node development (GO:0003163)	10	6	.90	+	6.68	1.20E-03	2.03E-02
response to vitamin (GO:0033273)	88	19	7.90	+	2.40	1.21E-03	2.04E-02
regulation of myotube differentiation (GO:0010830)	42	12	3.77	+	3.18	1.24E-03	2.08E-02
cardiac muscle cell contraction (GO:0086003)	42	12	3.77	+	3.18	1.24E-03	2.08E-02
regulation of platelet activation (GO:0010543)	36	11	3.23	+	3.40	1.25E-03	2.08E-02
positive regulation of glial cell differentiation (GO:0045687)	42	12	3.77	+	3.18	1.24E-03	2.08E-02
neuron maturation (GO:0042551)	36	11	3.23	+	3.40	1.25E-03	2.08E-02
smooth muscle cell differentiation (GO:0051145)	36	11	3.23	+	3.40	1.25E-03	2.09E-02
columnar/cuboidal epithelial cell development (GO:0002066)	36	11	3.23	+	3.40	1.25E-03	2.09E-02
nuclear transport (GO:0051169)	264	9	23.70	-	.38	1.25E-03	2.09E-02
positive regulation of cell adhesion (GO:0045785)	438	62	39.32	+	1.58	1.26E-03	2.10E-02
aerobic electron transport chain (GO:0019646)	88	0	7.90	-	 < 0.01	1.26E-03	2.10E-02
mRNA 3'-end processing (GO:0031124)	88	0	7.90	-	 < 0.01	1.26E-03	2.10E-02
protein import (GO:0017038)	158	3	14.19	-	.21	1.28E-03	2.12E-02
regulation of sodium ion transport (GO:0002028)	89	19	7.99	+	2.38	1.34E-03	2.22E-02
embryonic placenta morphogenesis (GO:0060669)	25	9	2.24	+	4.01	1.35E-03	2.24E-02
cochlea morphogenesis (GO:0090103)	25	9	2.24	+	4.01	1.35E-03	2.24E-02
positive regulation of transcription regulatory region DNA binding (GO:2000679)	25	9	2.24	+	4.01	1.35E-03	2.24E-02
positive regulation of cell junction assembly (GO:1901890)	102	21	9.16	+	2.29	1.36E-03	2.25E-02
regulation of potassium ion transmembrane transporter activity (GO:1901016)	62	15	5.57	+	2.69	1.38E-03	2.27E-02
SMAD protein signal transduction (GO:0060395)	62	15	5.57	+	2.69	1.38E-03	2.27E-02
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	111	22	9.97	+	2.21	1.39E-03	2.30E-02
endoderm formation (GO:0001706)	49	13	4.40	+	2.96	1.40E-03	2.30E-02
glial cell development (GO:0021782)	111	22	9.97	+	2.21	1.39E-03	2.30E-02
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	49	13	4.40	+	2.96	1.40E-03	2.30E-02
phagocytosis, engulfment (GO:0006911)	132	2	11.85	-	.17	1.41E-03	2.31E-02
determination of left/right symmetry (GO:0007368)	125	24	11.22	+	2.14	1.41E-03	2.31E-02
RNA modification (GO:0009451)	172	4	15.44	-	.26	1.42E-03	2.33E-02
tongue development (GO:0043586)	20	8	1.80	+	4.46	1.45E-03	2.37E-02
axon ensheathment in central nervous system (GO:0032291)	20	8	1.80	+	4.46	1.45E-03	2.37E-02
positive regulation of chondrocyte differentiation (GO:0032332)	20	8	1.80	+	4.46	1.45E-03	2.37E-02
central nervous system myelination (GO:0022010)	20	8	1.80	+	4.46	1.45E-03	2.38E-02
regulation of mesenchymal cell proliferation (GO:0010464)	31	10	2.78	+	3.59	1.47E-03	2.39E-02
neurotransmitter metabolic process (GO:0042133)	31	10	2.78	+	3.59	1.47E-03	2.39E-02
modulation of excitatory postsynaptic potential (GO:0098815)	43	12	3.86	+	3.11	1.47E-03	2.39E-02
branching involved in ureteric bud morphogenesis (GO:0001658)	43	12	3.86	+	3.11	1.47E-03	2.39E-02
DNA conformation change (GO:0071103)	312	12	28.01	-	.43	1.50E-03	2.43E-02
negative regulation of inflammatory response (GO:0050728)	320	48	28.73	+	1.67	1.50E-03	2.43E-02
animal organ formation (GO:0048645)	37	11	3.32	+	3.31	1.50E-03	2.43E-02
mitochondrial translation (GO:0032543)	112	1	10.06	-	.10	1.53E-03	2.48E-02
intracellular signal transduction (GO:0035556)	1677	191	150.56	+	1.27	1.53E-03	2.48E-02
positive regulation of protein kinase B signaling (GO:0051897)	181	31	16.25	+	1.91	1.57E-03	2.54E-02
hormone transport (GO:0009914)	83	18	7.45	+	2.42	1.59E-03	2.56E-02
positive regulation of reproductive process (GO:2000243)	83	18	7.45	+	2.42	1.59E-03	2.56E-02
regulation of binding (GO:0051098)	365	53	32.77	+	1.62	1.60E-03	2.57E-02
protein deubiquitination (GO:0016579)	278	10	24.96	-	.40	1.62E-03	2.61E-02
response to nutrient (GO:0007584)	170	30	15.26	+	1.97	1.65E-03	2.66E-02
nucleocytoplasmic transport (GO:0006913)	261	9	23.43	-	.38	1.67E-03	2.68E-02
DNA recombination (GO:0006310)	225	7	20.20	-	.35	1.68E-03	2.69E-02
negative regulation of secretion by cell (GO:1903531)	142	26	12.75	+	2.04	1.68E-03	2.69E-02
positive regulation of heart rate (GO:0010460)	26	9	2.33	+	3.86	1.69E-03	2.69E-02
axis elongation (GO:0003401)	26	9	2.33	+	3.86	1.69E-03	2.70E-02
cerebral cortex development (GO:0021987)	118	23	10.59	+	2.17	1.69E-03	2.70E-02
pharyngeal system development (GO:0060037)	26	9	2.33	+	3.86	1.69E-03	2.70E-02
protein-containing complex disassembly (GO:0032984)	228	7	20.47	-	.34	1.71E-03	2.73E-02
nuclear division (GO:0000280)	339	14	30.44	-	.46	1.73E-03	2.74E-02
ventral spinal cord interneuron fate commitment (GO:0060579)	11	6	.99	+	6.08	1.73E-03	2.74E-02
cell fate commitment involved in pattern specification (GO:0060581)	11	6	.99	+	6.08	1.73E-03	2.74E-02
paraxial mesoderm morphogenesis (GO:0048340)	11	6	.99	+	6.08	1.73E-03	2.74E-02
loop of Henle development (GO:0072070)	11	6	.99	+	6.08	1.73E-03	2.75E-02
regulation of mesenchymal cell apoptotic process (GO:2001053)	11	6	.99	+	6.08	1.73E-03	2.75E-02
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	44	12	3.95	+	3.04	1.73E-03	2.75E-02
negative regulation of blood pressure (GO:0045776)	44	12	3.95	+	3.04	1.73E-03	2.75E-02
DNA-templated transcription, termination (GO:0006353)	79	0	7.09	-	 < 0.01	1.73E-03	2.75E-02
regulation of telomere maintenance (GO:0032204)	81	0	7.27	-	 < 0.01	1.76E-03	2.78E-02
Notch signaling pathway (GO:0007219)	119	23	10.68	+	2.15	1.78E-03	2.81E-02
positive regulation of heart contraction (GO:0045823)	38	11	3.41	+	3.22	1.79E-03	2.82E-02
lung development (GO:0030324)	173	30	15.53	+	1.93	1.81E-03	2.85E-02
cerebral cortex GABAergic interneuron development (GO:0021894)	7	5	.63	+	7.96	1.83E-03	2.86E-02
myelination (GO:0042552)	106	21	9.52	+	2.21	1.83E-03	2.87E-02
commitment of neuronal cell to specific neuron type in forebrain (GO:0021902)	7	5	.63	+	7.96	1.83E-03	2.87E-02
ureter morphogenesis (GO:0072197)	7	5	.63	+	7.96	1.83E-03	2.87E-02
regulation of axon extension (GO:0030516)	97	20	8.71	+	2.30	1.84E-03	2.88E-02
cellular component assembly (GO:0022607)	2494	179	223.91	-	.80	1.85E-03	2.89E-02
ventricular cardiac muscle cell action potential (GO:0086005)	21	8	1.89	+	4.24	1.86E-03	2.90E-02
neuron projection fasciculation (GO:0106030)	21	8	1.89	+	4.24	1.86E-03	2.90E-02
regulation of platelet aggregation (GO:0090330)	21	8	1.89	+	4.24	1.86E-03	2.90E-02
metanephric epithelium development (GO:0072207)	21	8	1.89	+	4.24	1.86E-03	2.91E-02
axonal fasciculation (GO:0007413)	21	8	1.89	+	4.24	1.86E-03	2.91E-02
regulation of morphogenesis of a branching structure (GO:0060688)	51	13	4.58	+	2.84	1.89E-03	2.94E-02
MAPK cascade (GO:0000165)	402	57	36.09	+	1.58	1.91E-03	2.96E-02
regulation of excitatory synapse assembly (GO:1904889)	16	7	1.44	+	4.87	1.92E-03	2.98E-02
peptidyl-lysine modification (GO:0018205)	305	12	27.38	-	.44	1.95E-03	3.02E-02
mechanoreceptor differentiation (GO:0042490)	68	16	6.10	+	2.62	1.96E-03	3.04E-02
positive regulation of peptide hormone secretion (GO:0090277)	107	21	9.61	+	2.19	1.98E-03	3.07E-02
negative regulation of muscle cell differentiation (GO:0051148)	58	14	5.21	+	2.69	2.00E-03	3.09E-02
ribonucleoprotein complex localization (GO:0071166)	127	2	11.40	-	.18	2.01E-03	3.10E-02
electron transport chain (GO:0022900)	170	4	15.26	-	.26	2.01E-03	3.11E-02
regulation of chromosome organization (GO:0033044)	290	11	26.04	-	.42	2.06E-03	3.17E-02
ionotropic glutamate receptor signaling pathway (GO:0035235)	27	9	2.42	+	3.71	2.09E-03	3.21E-02
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	27	9	2.42	+	3.71	2.09E-03	3.21E-02
telomere organization (GO:0032200)	103	1	9.25	-	.11	2.11E-03	3.23E-02
recombinational repair (GO:0000725)	103	1	9.25	-	.11	2.11E-03	3.24E-02
vesicle budding from membrane (GO:0006900)	103	1	9.25	-	.11	2.11E-03	3.24E-02
regulation of striated muscle tissue development (GO:0016202)	39	11	3.50	+	3.14	2.13E-03	3.26E-02
embryonic axis specification (GO:0000578)	39	11	3.50	+	3.14	2.13E-03	3.26E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	104	139.43	-	.75	2.16E-03	3.29E-02
respiratory tube development (GO:0030323)	177	30	15.89	+	1.89	2.15E-03	3.29E-02
glomerulus development (GO:0032835)	52	13	4.67	+	2.78	2.19E-03	3.35E-02
negative regulation of immune system process (GO:0002683)	597	78	53.60	+	1.46	2.20E-03	3.35E-02
ventricular septum development (GO:0003281)	70	16	6.28	+	2.55	2.22E-03	3.38E-02
regulation of endocytosis (GO:0030100)	210	34	18.85	+	1.80	2.23E-03	3.39E-02
detection of external stimulus (GO:0009581)	137	25	12.30	+	2.03	2.23E-03	3.39E-02
endomembrane system organization (GO:0010256)	530	27	47.58	-	.57	2.25E-03	3.42E-02
microtubule-based process (GO:0007017)	806	47	72.36	-	.65	2.27E-03	3.44E-02
negative regulation of growth (GO:0045926)	249	39	22.35	+	1.74	2.30E-03	3.48E-02
epithelial cell proliferation (GO:0050673)	90	19	8.08	+	2.35	2.30E-03	3.48E-02
cytosolic calcium ion transport (GO:0060401)	90	19	8.08	+	2.35	2.30E-03	3.48E-02
male gonad development (GO:0008584)	138	25	12.39	+	2.02	2.35E-03	3.55E-02
endocardial cushion formation (GO:0003272)	22	8	1.98	+	4.05	2.36E-03	3.55E-02
gonad development (GO:0008406)	215	35	19.30	+	1.81	2.36E-03	3.55E-02
neurotransmitter reuptake (GO:0098810)	22	8	1.98	+	4.05	2.36E-03	3.55E-02
cAMP metabolic process (GO:0046058)	22	8	1.98	+	4.05	2.36E-03	3.55E-02
immune response-activating signal transduction (GO:0002757)	455	22	40.85	-	.54	2.36E-03	3.55E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	22	40.85	-	.54	2.36E-03	3.56E-02
regulation of bone resorption (GO:0045124)	46	12	4.13	+	2.91	2.37E-03	3.56E-02
telencephalon regionalization (GO:0021978)	12	6	1.08	+	5.57	2.42E-03	3.60E-02
midbrain dopaminergic neuron differentiation (GO:1904948)	12	6	1.08	+	5.57	2.42E-03	3.60E-02
regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106070)	12	6	1.08	+	5.57	2.42E-03	3.61E-02
rhythmic process (GO:0048511)	269	41	24.15	+	1.70	2.43E-03	3.61E-02
membrane repolarization during ventricular cardiac muscle cell action potential (GO:0098915)	12	6	1.08	+	5.57	2.42E-03	3.61E-02
negative regulation of platelet aggregation (GO:0090331)	12	6	1.08	+	5.57	2.42E-03	3.61E-02
ventricular cardiac muscle cell membrane repolarization (GO:0099625)	12	6	1.08	+	5.57	2.42E-03	3.62E-02
peripheral nervous system neuron differentiation (GO:0048934)	12	6	1.08	+	5.57	2.42E-03	3.62E-02
peripheral nervous system neuron development (GO:0048935)	12	6	1.08	+	5.57	2.42E-03	3.62E-02
nerve growth factor signaling pathway (GO:0038180)	12	6	1.08	+	5.57	2.42E-03	3.63E-02
positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway (GO:0090082)	4	4	.36	+	11.14	2.45E-03	3.64E-02
positive regulation of heart induction (GO:1901321)	4	4	.36	+	11.14	2.45E-03	3.64E-02
stem cell fate specification (GO:0048866)	4	4	.36	+	11.14	2.45E-03	3.64E-02
development of primary male sexual characteristics (GO:0046546)	139	25	12.48	+	2.00	2.48E-03	3.67E-02
detection of abiotic stimulus (GO:0009582)	139	25	12.48	+	2.00	2.48E-03	3.67E-02
regulation of bone remodeling (GO:0046850)	53	13	4.76	+	2.73	2.53E-03	3.70E-02
anterior/posterior axis specification (GO:0009948)	53	13	4.76	+	2.73	2.53E-03	3.70E-02
regulation of dopamine metabolic process (GO:0042053)	17	7	1.53	+	4.59	2.52E-03	3.71E-02
membrane invagination (GO:0010324)	148	3	13.29	-	.23	2.52E-03	3.71E-02
regulation of myoblast differentiation (GO:0045661)	53	13	4.76	+	2.73	2.53E-03	3.71E-02
negative regulation of myeloid cell differentiation (GO:0045638)	80	17	7.18	+	2.37	2.53E-03	3.71E-02
regulation of catecholamine metabolic process (GO:0042069)	17	7	1.53	+	4.59	2.52E-03	3.71E-02
developmental growth involved in morphogenesis (GO:0060560)	115	22	10.32	+	2.13	2.52E-03	3.71E-02
retinal ganglion cell axon guidance (GO:0031290)	17	7	1.53	+	4.59	2.52E-03	3.71E-02
reflex (GO:0060004)	17	7	1.53	+	4.59	2.52E-03	3.72E-02
negative regulation of bone resorption (GO:0045779)	17	7	1.53	+	4.59	2.52E-03	3.72E-02
positive regulation of blood circulation (GO:1903524)	40	11	3.59	+	3.06	2.52E-03	3.72E-02
sensory perception of temperature stimulus (GO:0050951)	28	9	2.51	+	3.58	2.56E-03	3.74E-02
regulation of fatty acid oxidation (GO:0046320)	34	10	3.05	+	3.28	2.59E-03	3.78E-02
long-term memory (GO:0007616)	34	10	3.05	+	3.28	2.59E-03	3.79E-02
activation of phospholipase C activity (GO:0007202)	34	10	3.05	+	3.28	2.59E-03	3.79E-02
activation of MAPK activity (GO:0000187)	155	27	13.92	+	1.94	2.62E-03	3.81E-02
organic substance transport (GO:0071702)	2079	147	186.65	-	.79	2.64E-03	3.84E-02
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	31	16.79	+	1.85	2.70E-03	3.93E-02
chromosome segregation (GO:0007059)	286	11	25.68	-	.43	2.72E-03	3.94E-02
aging (GO:0007568)	296	44	26.57	+	1.66	2.72E-03	3.95E-02
mitotic spindle organization (GO:0007052)	163	4	14.63	-	.27	2.74E-03	3.98E-02
determination of bilateral symmetry (GO:0009855)	130	24	11.67	+	2.06	2.74E-03	3.98E-02
organelle localization (GO:0051640)	609	33	54.68	-	.60	2.75E-03	3.98E-02
forebrain neuron fate commitment (GO:0021877)	8	5	.72	+	6.96	2.77E-03	3.99E-02
RNA phosphodiester bond hydrolysis (GO:0090501)	164	4	14.72	-	.27	2.76E-03	3.99E-02
positive regulation of striated muscle cell differentiation (GO:0051155)	47	12	4.22	+	2.84	2.76E-03	3.99E-02
semicircular canal development (GO:0060872)	8	5	.72	+	6.96	2.77E-03	3.99E-02
negative regulation of morphogenesis of an epithelium (GO:1905331)	8	5	.72	+	6.96	2.77E-03	3.99E-02
specification of symmetry (GO:0009799)	131	24	11.76	+	2.04	2.85E-03	4.10E-02
morphogenesis of embryonic epithelium (GO:0016331)	145	26	13.02	+	2.00	2.90E-03	4.17E-02
RNA export from nucleus (GO:0006405)	124	2	11.13	-	.18	2.92E-03	4.20E-02
protein ubiquitination (GO:0016567)	746	43	66.98	-	.64	2.94E-03	4.22E-02
establishment of localization in cell (GO:0051649)	2335	168	209.63	-	.80	2.96E-03	4.22E-02
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	41	11	3.68	+	2.99	2.96E-03	4.22E-02
exocrine system development (GO:0035272)	41	11	3.68	+	2.99	2.96E-03	4.23E-02
cerebral cortex neuron differentiation (GO:0021895)	23	8	2.06	+	3.87	2.95E-03	4.23E-02
hydrogen peroxide metabolic process (GO:0042743)	41	11	3.68	+	2.99	2.96E-03	4.23E-02
positive regulation of long-term synaptic potentiation (GO:1900273)	23	8	2.06	+	3.87	2.95E-03	4.23E-02
regulation of muscle tissue development (GO:1901861)	41	11	3.68	+	2.99	2.96E-03	4.24E-02
protein folding (GO:0006457)	233	8	20.92	-	.38	3.01E-03	4.29E-02
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	197	6	17.69	-	.34	3.02E-03	4.30E-02
ribonucleoprotein complex export from nucleus (GO:0071426)	126	2	11.31	-	.18	3.05E-03	4.34E-02
tube formation (GO:0035148)	147	26	13.20	+	1.97	3.07E-03	4.36E-02
telomere maintenance (GO:0000723)	99	1	8.89	-	.11	3.08E-03	4.37E-02
response to pain (GO:0048265)	29	9	2.60	+	3.46	3.11E-03	4.40E-02
spinal cord motor neuron differentiation (GO:0021522)	29	9	2.60	+	3.46	3.11E-03	4.40E-02
regulation of homotypic cell-cell adhesion (GO:0034110)	29	9	2.60	+	3.46	3.11E-03	4.41E-02
regulation of lipid transport (GO:0032368)	133	24	11.94	+	2.01	3.11E-03	4.41E-02
amide biosynthetic process (GO:0043604)	537	28	48.21	-	.58	3.11E-03	4.41E-02
cellular response to inorganic substance (GO:0071241)	228	36	20.47	+	1.76	3.11E-03	4.41E-02
Wnt signaling pathway (GO:0016055)	350	50	31.42	+	1.59	3.15E-03	4.43E-02
double-strand break repair via homologous recombination (GO:0000724)	101	1	9.07	-	.11	3.15E-03	4.43E-02
cell-cell signaling by wnt (GO:0198738)	350	50	31.42	+	1.59	3.15E-03	4.44E-02
axon ensheathment (GO:0008366)	108	21	9.70	+	2.17	3.15E-03	4.44E-02
cotranslational protein targeting to membrane (GO:0006613)	101	1	9.07	-	.11	3.15E-03	4.44E-02
ensheathment of neurons (GO:0007272)	108	21	9.70	+	2.17	3.15E-03	4.44E-02
actin filament-based movement (GO:0030048)	119	22	10.68	+	2.06	3.19E-03	4.48E-02
catechol-containing compound metabolic process (GO:0009712)	48	12	4.31	+	2.78	3.20E-03	4.48E-02
catecholamine metabolic process (GO:0006584)	48	12	4.31	+	2.78	3.20E-03	4.48E-02
neurotransmitter biosynthetic process (GO:0042136)	18	7	1.62	+	4.33	3.25E-03	4.53E-02
lymph vessel morphogenesis (GO:0036303)	18	7	1.62	+	4.33	3.25E-03	4.53E-02
paraxial mesoderm development (GO:0048339)	18	7	1.62	+	4.33	3.25E-03	4.54E-02
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	18	7	1.62	+	4.33	3.25E-03	4.54E-02
metanephric tubule development (GO:0072170)	18	7	1.62	+	4.33	3.25E-03	4.54E-02
spinal cord patterning (GO:0021511)	18	7	1.62	+	4.33	3.25E-03	4.55E-02
specification of animal organ identity (GO:0010092)	18	7	1.62	+	4.33	3.25E-03	4.55E-02
regulation of postsynaptic density assembly (GO:0099151)	13	6	1.17	+	5.14	3.29E-03	4.57E-02
lymphangiogenesis (GO:0001946)	13	6	1.17	+	5.14	3.29E-03	4.58E-02
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	18	7.72	+	2.33	3.33E-03	4.63E-02
humoral immune response (GO:0006959)	386	18	34.65	-	.52	3.39E-03	4.71E-02
ameboidal-type cell migration (GO:0001667)	181	30	16.25	+	1.85	3.42E-03	4.74E-02
plasma membrane invagination (GO:0099024)	141	3	12.66	-	.24	3.44E-03	4.77E-02
response to peptide hormone (GO:0043434)	406	56	36.45	+	1.54	3.52E-03	4.87E-02
protein localization to endoplasmic reticulum (GO:0070972)	143	3	12.84	-	.23	3.54E-03	4.89E-02
dendrite development (GO:0016358)	111	21	9.97	+	2.11	3.57E-03	4.93E-02
